Sample,X,Y,Z
0,-0.9868,0.0076,-0.0251
1,-0.9946,0.0227,0.0022
2,-0.9915,0.0308,-0.0137
3,-1.0034,0.0134,-0.0200
4,-1.0093,0.0017,-0.0002
5,-0.9917,0.0166,-0.0164
6,-0.9944,0.0227,-0.0134
7,-1.0054,0.0203,-0.0042
8,-0.9878,0.0227,-0.0200
9,-0.9983,0.0054,-0.0154
10,-1.0112,-0.0056,-0.0015
11,-0.9954,0.0205,-0.0164
12,-0.9946,0.0396,-0.0005
13,-1.0044,0.0288,-0.0015
14,-0.9985,0.0071,-0.0149
15,-0.9976,-0.0007,-0.0186
16,-0.9995,0.0161,-0.0081
17,-0.9983,0.0266,-0.0020
18,-0.9973,0.0173,-0.0151
19,-1.0034,0.0107,-0.0281
20,-1.0002,0.0195,-0.0203
21,-0.9995,0.0259,0.0024
22,-0.9934,0.0227,-0.0032
23,-0.9976,-0.0044,-0.0276
24,-0.9963,0.0000,-0.0061
25,-0.9995,0.0293,-0.0151
26,-1.0022,0.0347,-0.0039
27,-1.0002,0.0095,-0.0056
28,-0.9937,-0.0039,-0.0261
29,-0.9937,0.0168,-0.0183
30,-0.9966,0.0415,-0.0042
31,-0.9976,0.0259,0.0037
32,-0.9966,0.0017,-0.0020
33,-0.9956,-0.0120,-0.0391
34,-0.9905,0.0195,-0.0173
35,-1.0002,0.0564,0.0039
36,-1.0051,0.0393,-0.0017
37,-0.9983,-0.0093,-0.0178
38,-0.9866,-0.0129,-0.0266
39,-0.9924,0.0251,-0.0217
40,-1.0081,0.0393,0.0127
41,-1.0012,0.0198,-0.0037
42,-0.9897,0.0017,-0.0474
43,-1.0002,0.0171,-0.0137
44,-1.0022,0.0417,0.0125
45,-0.9954,0.0266,-0.0061
46,-0.9985,-0.0083,-0.0310
47,-0.9976,-0.0071,-0.0339
48,-0.9973,0.0269,-0.0073
49,-1.0022,0.0569,0.0000
50,-1.0044,0.0188,-0.0076
51,-0.9954,-0.0193,-0.0276
52,-0.9897,-0.0022,-0.0369
