Sample,X,Y,Z
168,-0.9419,0.2964,0.0647
169,-0.9485,0.3152,0.0405
170,-0.9731,0.2583,0.0352
171,-0.9875,0.1387,0.0220
172,-1.0200,0.0276,-0.0203
173,-1.0415,-0.0061,-0.0085
174,-1.0205,0.0540,-0.0371
175,-1.0061,0.1582,-0.0359
176,-1.0081,0.1912,0.0237
177,-1.0076,0.1511,-0.0149
178,-0.9976,0.1094,-0.0315
179,-0.9683,0.0862,-0.0439
180,-0.9741,0.1108,-0.0249
181,-0.9543,0.1750,-0.0559
182,-0.9463,0.2554,-0.0461
183,-0.9543,0.2859,-0.0046
184,-0.9573,0.1863,-0.0134
185,-0.9858,0.0115,-0.0483
186,-1.0024,-0.1189,-0.0747
187,-1.0132,-0.0879,-0.0518
188,-1.0374,0.0986,-0.0107
189,-1.0190,0.2852,0.0117
190,-0.9976,0.2905,0.0061
191,-0.9915,0.1226,-0.0186
192,-0.9719,-0.0681,-0.0132
193,-0.9377,-0.0796,-0.0220
194,-0.9663,0.0901,0.0042
195,-1.0032,0.2625,0.0571
196,-1.0295,0.2539,0.0437
197,-1.0347,0.0564,-0.0090
198,-1.0432,-0.1318,-0.0278
199,-1.0151,-0.0869,-0.0188
200,-0.9783,0.1326,-0.0178
201,-1.0112,0.2810,0.0393
202,-1.0493,0.2034,0.0305
203,-1.0344,0.0691,-0.0857
204,-0.9819,0.0984,-0.0750
205,-0.9829,0.3032,-0.0059
206,-0.9819,0.4448,0.0310
207,-0.9966,0.3286,0.0125
208,-0.9976,0.0186,-0.0569
209,-0.9836,-0.1169,-0.1252
210,-1.0059,0.0715,-0.0618
211,-1.0276,0.2849,0.0718
212,-1.0315,0.2058,0.0500
213,-1.0112,-0.0505,-0.0835
214,-0.9534,-0.1189,-0.0974
215,-0.9429,0.1238,-0.0166
216,-0.9751,0.3550,0.0852
217,-0.9998,0.2322,0.0962
218,-1.0142,-0.0715,-0.0449
219,-0.9907,-0.0930,-0.1038
220,-0.9937,0.1836,0.0298
221,-1.0266,0.3152,0.1372
222,-1.0276,0.0640,0.0420
223,-0.9612,-0.2007,-0.1252
224,-0.9514,-0.0203,-0.1094
225,-0.9819,0.4087,0.0664
226,-0.9849,0.4995,0.1384
227,-0.9651,0.1592,-0.0281
228,-0.9446,-0.0793,-0.1721
229,-0.9797,0.0510,-0.0520
230,-1.0132,0.2168,0.1130
231,-0.9998,0.1111,0.0110
232,-0.9553,-0.0659,-0.1692
233,-0.9885,-0.0129,-0.1045
234,-1.0669,0.1421,0.0618
235,-1.0513,0.1948,0.0347
236,-0.9829,0.1479,-0.0864
237,-0.9946,0.1567,-0.0718
238,-1.0647,0.1323,0.0671
239,-1.0503,0.0618,0.0491
240,-0.9214,0.1599,-0.0925
241,-0.8970,0.3062,-0.0596
242,-1.0464,0.2388,0.1042
243,-1.0757,0.0432,0.0432
244,-0.9585,0.0061,-0.1162
245,-0.9136,0.1230,-0.0217
246,-1.0281,0.1570,0.1143
247,-0.9836,0.1516,-0.0110
248,-0.9104,0.1990,-0.1064
249,-0.9829,0.2065,0.0432
250,-1.0784,0.1399,0.1057
251,-1.0120,0.0884,-0.0801
252,-0.9868,0.0493,-0.0637
253,-1.0806,-0.0208,0.0764
254,-1.0513,-0.0146,-0.0312
255,-0.9312,0.0723,-0.1106
256,-0.9846,0.0984,0.0029
257,-1.0308,0.0710,-0.0044
258,-0.9644,0.1035,-0.0732
259,-0.9680,0.1870,0.0015
260,-1.0317,0.2090,0.0264
261,-0.9436,0.2380,-0.0603
262,-0.9192,0.2371,-0.0613
263,-0.9839,0.0991,0.0300
264,-0.9849,-0.0217,-0.0640
265,-0.9741,0.0225,-0.1028
266,-1.0229,0.0811,0.0432
267,-1.0679,0.0581,0.0190
268,-0.9927,0.0569,-0.0894
269,-0.9358,0.0745,-0.0225
270,-0.9983,0.0835,0.0647
271,-0.9819,0.0479,-0.0244
272,-0.9736,-0.0630,-0.0203
273,-1.0249,-0.1687,0.0051
274,-1.0051,-0.1243,-0.0422
