Sample,X,Y,Z
167,-0.9690,-0.0076,-0.0198
168,-0.9729,-0.0073,-0.0093
169,-1.0022,0.0225,0.0208
170,-1.0051,0.0251,0.0046
171,-0.9966,-0.0137,-0.0303
172,-0.9915,-0.0205,-0.0176
173,-0.9907,0.0200,-0.0154
174,-0.9807,0.0554,-0.0168
175,-0.9868,0.0627,0.0093
176,-0.9963,0.0386,0.0076
177,-0.9897,0.0129,-0.0225
178,-1.0012,0.0037,-0.0190
179,-1.0103,-0.0076,-0.0249
180,-1.0063,-0.0125,-0.0371
181,-1.0120,0.0144,-0.0151
182,-1.0081,0.0659,-0.0027
183,-1.0061,0.0618,0.0093
184,-1.0051,0.0132,0.0222
185,-0.9878,-0.0249,-0.0183
186,-0.9712,-0.0286,-0.0544
187,-0.9858,-0.0012,-0.0242
188,-0.9915,0.0146,-0.0100
189,-0.9858,0.0161,-0.0183
190,-1.0073,0.0305,0.0144
191,-1.0002,0.0391,0.0054
192,-0.9905,0.0149,-0.0178
193,-0.9976,-0.0090,-0.0115
194,-1.0012,-0.0029,-0.0183
195,-0.9954,0.0293,-0.0139
196,-1.0208,0.0342,0.0178
197,-1.0259,0.0085,0.0095
198,-0.9995,-0.0256,-0.0342
199,-0.9846,-0.0039,-0.0281
200,-0.9709,0.0427,-0.0225
201,-0.9663,0.0559,-0.0271
202,-0.9976,0.0254,-0.0078
203,-1.0198,-0.0078,-0.0173
204,-1.0239,0.0029,-0.0142
205,-1.0159,0.0371,0.0251
206,-0.9868,0.0420,0.0361
207,-0.9670,0.0068,-0.0132
208,-1.0032,-0.0388,-0.0261
209,-1.0190,-0.0259,-0.0239
210,-1.0090,0.0378,-0.0320
211,-0.9866,0.0713,0.0093
212,-0.9612,0.0522,0.0198
213,-0.9666,-0.0117,-0.0222
214,-0.9849,-0.0520,-0.0347
215,-0.9976,-0.0051,-0.0176
216,-0.9778,0.0701,-0.0061
217,-0.9846,0.0593,0.0034
218,-1.0295,-0.0195,0.0120
219,-1.0601,-0.0393,-0.0103
220,-1.0464,0.0151,-0.0166
221,-0.9778,0.0750,-0.0110
222,-0.9116,0.0518,-0.0454
223,-0.9417,-0.0164,-0.0208
224,-1.0337,-0.0239,0.0405
225,-1.0559,0.0144,0.0227
226,-1.0120,0.0405,-0.0295
227,-0.9807,0.0012,-0.0454
228,-0.9915,-0.0398,-0.0254
229,-1.0139,-0.0098,0.0266
230,-0.9924,0.0618,0.0210
231,-0.9690,0.0767,-0.0496
232,-0.9973,0.0134,-0.0422
233,-1.0278,-0.0171,0.0300
234,-0.9946,0.0088,0.0195
235,-0.9624,0.0193,-0.0356
236,-0.9858,-0.0098,-0.0430
237,-1.0237,-0.0042,-0.0229
238,-1.0144,0.0403,-0.0188
239,-0.9849,0.0610,-0.0071
240,-0.9956,0.0352,0.0068
241,-1.0405,0.0137,0.0305
242,-1.0298,0.0142,0.0190
243,-0.9448,-0.0081,-0.0840
244,-0.9546,-0.0273,-0.0664
245,-1.0288,-0.0046,0.0312
246,-1.0188,0.0310,0.0161
247,-0.9702,0.0383,-0.0381
248,-1.0071,0.0220,-0.0005
249,-1.0491,0.0154,0.0310
250,-0.9946,0.0046,-0.0254
251,-0.9360,-0.0144,-0.0574
252,-0.9563,0.0071,-0.0132
253,-1.0198,0.0488,0.0081
254,-1.0325,0.0498,-0.0024
255,-1.0032,0.0156,-0.0022
256,-1.0012,-0.0056,0.0129
257,-1.0002,-0.0103,-0.0078
258,-0.9878,-0.0264,-0.0420
259,-0.9800,0.0081,-0.0208
260,-0.9856,0.0601,-0.0159
261,-0.9778,0.0432,-0.0361
262,-1.0005,0.0168,0.0063
263,-1.0405,0.0098,0.0574
264,-1.0103,0.0056,-0.0100
265,-0.9731,-0.0120,-0.0662
266,-0.9751,-0.0168,-0.0320
267,-0.9963,0.0200,-0.0054
268,-0.9897,0.0608,-0.0029
269,-1.0063,0.0464,0.0334
270,-1.0305,0.0027,0.0325
271,-1.0032,-0.0146,-0.0359
272,-0.9719,0.0120,-0.0398
273,-0.9695,0.0369,-0.0137
274,-0.9702,0.0203,-0.0251
275,-0.9888,0.0054,-0.0103
276,-1.0276,0.0144,0.0249
277,-1.0229,0.0229,-0.0115
278,-0.9817,0.0171,-0.0417
279,-0.9758,0.0186,-0.0095
280,-0.9839,0.0137,-0.0120
281,-0.9866,0.0190,-0.0110
282,-1.0247,0.0278,0.0242
283,-1.0422,0.0022,0.0022
284,-1.0198,-0.0144,-0.0327
285,-0.9956,0.0146,-0.0012
286,-0.9680,0.0325,-0.0227
287,-0.9629,0.0002,-0.0469
288,-0.9966,-0.0125,-0.0007
289,-1.0198,0.0232,0.0042
290,-0.9998,0.0381,-0.0378
291,-1.0034,0.0190,-0.0117
292,-1.0083,0.0122,0.0051
293,-0.9858,0.0193,-0.0300
294,-0.9810,0.0286,-0.0142
295,-0.9963,0.0059,0.0103
296,-1.0190,-0.0222,-0.0063
297,-1.0315,-0.0063,0.0015
298,-1.0129,0.0422,0.0068
299,-0.9709,0.0647,-0.0317
300,-0.9575,0.0322,-0.0352
301,-0.9856,-0.0139,-0.0034
302,-0.9954,-0.0200,-0.0093
303,-0.9963,-0.0032,-0.0225
304,-0.9993,0.0120,-0.0005
305,-1.0061,0.0244,-0.0059
306,-0.9946,0.0247,-0.0334
307,-0.9924,0.0227,-0.0054
308,-1.0083,0.0276,0.0129
309,-1.0054,0.0015,-0.0186
310,-1.0015,-0.0159,-0.0173
311,-0.9985,0.0205,-0.0032
312,-0.9897,0.0674,-0.0293
313,-0.9917,0.0513,-0.0374
