Sample,X,Y,Z
0,-0.9885,0.0200,-0.0024
1,-0.9885,0.0264,-0.0190
2,-0.9883,0.0200,-0.0195
3,-1.0000,0.0232,-0.0039
4,-0.9976,0.0195,-0.0139
5,-1.0061,0.0117,-0.0168
6,-1.0061,-0.0068,-0.0098
7,-0.9995,0.0017,-0.0159
8,-0.9839,0.0349,-0.0193
9,-0.9907,0.0405,-0.0142
10,-1.0012,0.0059,-0.0105
11,-1.0005,-0.0012,-0.0105
12,-0.9966,0.0200,-0.0229
13,-0.9971,0.0339,-0.0066
14,-0.9983,0.0222,-0.0042
15,-0.9995,-0.0039,-0.0215
16,-0.9944,0.0063,-0.0110
17,-0.9993,0.0276,-0.0098
18,-0.9905,0.0242,-0.0176
19,-0.9956,0.0110,-0.0068
20,-1.0012,0.0073,-0.0115
21,-0.9946,0.0181,-0.0237
22,-1.0002,0.0315,-0.0049
23,-1.0022,0.0073,-0.0115
24,-0.9915,-0.0103,-0.0227
25,-0.9973,0.0168,-0.0068
26,-0.9956,0.0413,-0.0151
27,-0.9907,0.0229,-0.0178
28,-1.0056,0.0032,0.0015
29,-0.9927,0.0081,-0.0137
30,-0.9856,0.0222,-0.0320
31,-1.0139,0.0215,0.0034
32,-0.9985,0.0188,-0.0020
33,-0.9807,0.0112,-0.0261
34,-0.9963,0.0088,-0.0161
35,-0.9985,-0.0066,-0.0056
36,-1.0015,0.0112,-0.0137
37,-0.9976,0.0483,-0.0063
38,-0.9927,0.0452,-0.0171
39,-1.0061,-0.0081,-0.0176
40,-1.0073,-0.0366,-0.0022
41,-0.9937,-0.0015,-0.0156
42,-0.9878,0.0491,-0.0193
43,-1.0002,0.0544,-0.0063
44,-1.0042,0.0078,-0.0139
45,-0.9963,-0.0134,-0.0168
46,-1.0012,0.0088,-0.0149
47,-1.0034,0.0229,-0.0088
48,-1.0012,0.0183,-0.0107
49,-0.9878,0.0085,-0.0225
50,-0.9878,0.0237,-0.0139
51,-0.9954,0.0273,-0.0029
52,-1.0024,0.0073,-0.0190
53,-0.9993,-0.0068,-0.0129
54,-1.0005,0.0085,-0.0093
55,-0.9934,0.0229,-0.0125
56,-0.9966,0.0317,-0.0176
57,-0.9983,0.0095,-0.0066
58,-0.9905,0.0115,-0.0159
59,-0.9954,0.0254,-0.0168
60,-1.0017,0.0195,-0.0090
61,-1.0002,0.0039,-0.0107
62,-0.9995,0.0085,-0.0168
63,-1.0024,0.0247,-0.0020
64,-0.9966,0.0269,-0.0110
65,-0.9973,0.0134,-0.0220
66,-0.9976,-0.0032,-0.0046
67,-0.9917,0.0085,-0.0078
68,-0.9944,0.0210,-0.0200
69,-1.0042,0.0273,-0.0046
70,-1.0081,0.0222,-0.0049
71,-0.9924,0.0134,-0.0137
72,-0.9868,0.0107,-0.0127
73,-0.9958,-0.0039,-0.0110
74,-0.9976,0.0024,-0.0168
75,-0.9976,0.0300,-0.0017
76,-0.9934,0.0344,-0.0107
77,-0.9954,0.0093,-0.0242
78,-1.0042,-0.0037,-0.0046
79,-1.0005,0.0105,-0.0098
80,-0.9897,0.0244,-0.0249
81,-0.9985,0.0178,-0.0103
82,-0.9966,0.0134,-0.0042
83,-0.9885,0.0103,-0.0222
84,-0.9976,0.0120,-0.0020
85,-0.9985,0.0193,-0.0093
86,-0.9954,0.0139,-0.0312
87,-1.0015,0.0122,-0.0037
88,-0.9937,0.0222,-0.0039
89,-0.9849,0.0156,-0.0315
90,-1.0012,0.0112,-0.0032
91,-1.0085,0.0212,0.0034
92,-0.9856,0.0295,-0.0376
93,-0.9995,0.0012,-0.0103
94,-1.0081,-0.0083,0.0063
95,-0.9800,0.0205,-0.0308
96,-0.9995,0.0359,-0.0120
97,-1.0083,0.0232,0.0117
98,-0.9866,-0.0051,-0.0352
99,-0.9856,0.0051,-0.0232
100,-1.0103,0.0212,0.0164
101,-0.9973,0.0195,-0.0198
102,-0.9897,0.0112,-0.0239
103,-1.0015,0.0107,-0.0012
104,-0.9878,0.0120,-0.0215
105,-0.9858,0.0178,-0.0159
106,-0.9993,0.0217,0.0032
107,-0.9934,0.0215,-0.0081
108,-0.9993,0.0222,-0.0251
109,-1.0051,0.0032,-0.0076
110,-0.9905,0.0029,-0.0063
111,-0.9915,0.0125,-0.0176
112,-0.9956,0.0249,-0.0061
113,-0.9915,0.0139,-0.0073
114,-0.9912,0.0005,-0.0266
115,-0.9944,0.0200,-0.0144
116,-1.0071,0.0261,0.0007
117,-1.0044,0.0146,-0.0156
118,-0.9941,0.0078,-0.0144
119,-0.9973,0.0166,-0.0159
120,-0.9966,0.0237,-0.0098
121,-0.9946,0.0217,-0.0073
122,-0.9915,-0.0010,-0.0132
123,-0.9956,-0.0125,-0.0190
124,-0.9944,0.0066,-0.0178
125,-0.9993,0.0349,-0.0146
126,-1.0015,0.0376,-0.0105
