Sample,X,Y,Z
0,-0.9849,0.0398,-0.0046
1,-0.9924,0.0349,-0.0046
2,-0.9944,0.0103,-0.0156
3,-1.0002,-0.0039,-0.0105
4,-0.9954,0.0139,-0.0137
5,-0.9966,0.0273,-0.0190
6,-1.0022,0.0229,0.0046
7,-0.9954,0.0122,-0.0132
8,-0.9897,0.0071,-0.0256
9,-0.9956,0.0247,-0.0117
10,-0.9956,0.0312,-0.0054
11,-1.0022,0.0073,-0.0112
12,-1.0042,-0.0012,-0.0156
13,-0.9917,0.0215,-0.0151
14,-0.9983,0.0320,-0.0137
15,-1.0044,0.0164,-0.0054
16,-0.9907,0.0093,-0.0208
17,-0.9963,0.0107,-0.0239
18,-1.0071,0.0200,0.0110
19,-1.0015,0.0195,0.0056
20,-0.9927,0.0139,-0.0408
21,-1.0024,0.0200,-0.0127
22,-0.9993,0.0298,0.0154
23,-0.9954,0.0137,-0.0251
24,-0.9954,-0.0042,-0.0100
25,-0.9946,0.0068,-0.0203
26,-0.9944,0.0359,-0.0190
27,-1.0081,0.0432,0.0176
28,-0.9976,0.0168,-0.0105
29,-0.9946,-0.0007,-0.0291
30,-1.0022,0.0144,-0.0127
31,-0.9954,0.0325,0.0020
32,-0.9875,0.0254,-0.0156
33,-1.0002,0.0085,-0.0244
34,-0.9966,0.0149,-0.0103
35,-0.9954,0.0364,-0.0254
36,-1.0029,0.0295,0.0017
37,-1.0012,0.0110,0.0002
38,-0.9907,0.0044,-0.0417
39,-0.9983,0.0063,-0.0039
40,-1.0042,0.0249,-0.0071
41,-0.9868,0.0386,-0.0222
42,-0.9973,0.0251,-0.0044
43,-1.0005,0.0115,-0.0144
44,-0.9963,0.0020,-0.0178
45,-0.9995,0.0076,-0.0063
46,-0.9937,0.0200,-0.0112
47,-0.9946,0.0264,-0.0085
48,-0.9944,0.0288,-0.0071
49,-0.9937,0.0352,-0.0132
50,-1.0061,0.0212,-0.0105
51,-1.0015,-0.0076,-0.0071
52,-0.9885,-0.0042,-0.0251
53,-0.9934,0.0261,-0.0227
54,-1.0032,0.0417,0.0032
55,-1.0024,0.0222,-0.0127
56,-0.9927,0.0010,-0.0308
57,-0.9966,0.0142,-0.0093
