Sample,X,Y,Z
0,-0.9768,0.0383,-0.0066
1,-1.0002,0.0320,0.0061
2,-0.9976,0.0081,-0.0303
3,-1.0022,-0.0073,-0.0164
4,-0.9980,0.0027,0.0002
5,-0.9856,0.0186,-0.0322
6,-1.0005,0.0186,-0.0083
7,-1.0015,0.0244,0.0059
8,-0.9878,0.0315,-0.0251
9,-0.9983,0.0273,-0.0168
10,-1.0063,0.0042,0.0054
11,-0.9937,-0.0042,-0.0217
12,-0.9934,0.0166,-0.0173
13,-0.9973,0.0339,-0.0015
14,-0.9946,0.0295,-0.0208
15,-0.9917,0.0093,-0.0076
16,-0.9946,-0.0005,-0.0044
17,-0.9944,0.0010,-0.0242
18,-1.0005,0.0083,0.0010
19,-1.0063,0.0320,0.0046
20,-0.9934,0.0344,-0.0266
21,-0.9897,0.0232,-0.0161
22,-1.0063,0.0071,-0.0049
23,-0.9966,0.0005,-0.0208
24,-0.9878,0.0090,-0.0125
25,-1.0042,0.0078,-0.0090
26,-0.9963,0.0144,-0.0205
27,-0.9973,0.0308,-0.0220
28,-1.0012,0.0234,-0.0061
29,-0.9973,0.0063,-0.0107
30,-1.0022,0.0149,-0.0227
31,-1.0061,0.0242,-0.0105
32,-0.9983,0.0149,-0.0044
33,-0.9907,0.0051,-0.0190
34,-0.9907,0.0042,-0.0168
35,-0.9963,0.0242,-0.0093
36,-1.0012,0.0269,-0.0103
37,-0.9963,0.0103,-0.0066
38,-1.0005,-0.0029,-0.0193
39,-0.9976,0.0107,-0.0237
40,-0.9966,0.0310,-0.0039
41,-0.9973,0.0298,-0.0088
42,-1.0002,0.0122,-0.0164
43,-0.9995,0.0024,-0.0088
44,-0.9973,0.0110,-0.0144
45,-0.9927,0.0193,-0.0146
46,-0.9993,0.0146,-0.0007
47,-0.9985,0.0115,-0.0117
48,-0.9941,0.0210,-0.0264
49,-1.0042,0.0237,-0.0010
50,-1.0015,0.0132,-0.0151
51,-0.9885,0.0039,-0.0234
52,-1.0034,0.0078,0.0022
53,-0.9963,0.0273,-0.0115
54,-0.9878,0.0298,-0.0247
55,-1.0012,0.0161,0.0002
56,-1.0005,0.0027,-0.0222
57,-0.9973,-0.0010,-0.0310
58,-1.0054,0.0256,0.0029
59,-1.0012,0.0273,-0.0129
60,-0.9868,0.0132,-0.0208
61,-0.9954,0.0037,-0.0046
