Sample,X,Y,Z
168,-0.9731,0.0117,-0.0220
169,-0.9573,0.0371,-0.0364
170,-0.9878,0.0872,0.0073
171,-1.0012,0.1001,0.0010
172,-1.0034,0.0830,-0.0198
173,-1.0249,0.0898,-0.0076
174,-1.0298,0.1345,-0.0093
175,-1.0159,0.1616,-0.0132
176,-1.0139,0.1550,-0.0229
177,-1.0168,0.1296,-0.0383
178,-1.0002,0.1487,-0.0393
179,-0.9846,0.1863,-0.0239
180,-0.9849,0.1687,0.0068
181,-0.9768,0.1091,-0.0029
182,-0.9548,0.0637,-0.0310
183,-0.9475,0.0815,-0.0212
184,-0.9729,0.1482,-0.0007
185,-1.0005,0.2009,0.0244
186,-1.0190,0.1909,0.0134
187,-1.0386,0.1504,-0.0193
188,-1.0344,0.1331,-0.0012
189,-1.0217,0.1304,0.0168
190,-1.0151,0.0708,-0.0012
191,-0.9827,-0.0188,-0.0249
192,-0.9614,-0.0339,-0.0376
193,-0.9485,0.0769,-0.0205
194,-0.9438,0.2388,0.0190
195,-0.9448,0.3391,0.0452
196,-0.9319,0.3467,0.0129
197,-0.9312,0.2534,-0.0054
198,-0.9944,0.1033,0.0718
199,-1.0112,-0.0190,0.0164
200,-0.9976,-0.0642,-0.0901
201,-1.0334,0.0037,-0.0525
202,-1.0471,0.1443,-0.0093
203,-1.0452,0.2456,-0.0278
204,-1.0120,0.2224,-0.0154
205,-0.9858,0.1243,-0.0225
206,-0.9839,0.0386,-0.0347
207,-0.9761,0.0278,-0.0127
208,-0.9673,0.0730,-0.0476
209,-0.9858,0.1489,-0.0251
210,-0.9709,0.1956,-0.0361
211,-0.9758,0.2058,-0.0354
212,-1.0139,0.1328,0.0281
213,-0.9915,0.0056,-0.0288
214,-0.9946,-0.0527,-0.0754
215,-1.0139,0.0142,-0.0471
216,-1.0532,0.1704,0.0085
217,-1.0242,0.3123,-0.0017
218,-0.9739,0.3079,-0.0398
219,-1.0032,0.1013,0.0117
220,-1.0012,-0.1047,0.0027
221,-0.9536,-0.0789,-0.0708
222,-0.9807,0.1462,0.0220
223,-1.0239,0.3169,0.0801
224,-1.0249,0.2720,0.0164
225,-1.0374,0.0361,0.0002
226,-1.0122,-0.1663,-0.0261
227,-0.9602,-0.0879,-0.0374
228,-0.9827,0.1858,0.0005
229,-1.0122,0.3325,0.0632
230,-1.0168,0.2349,-0.0076
231,-1.0073,0.0669,-0.0981
232,-1.0071,0.0837,-0.0400
233,-1.0063,0.2935,0.0132
234,-0.9602,0.4226,0.0090
235,-0.9839,0.2971,0.0034
236,-0.9934,0.0005,-0.0381
237,-0.9653,-0.1360,-0.1042
238,-0.9546,0.0269,-0.0669
239,-1.0159,0.2786,0.0442
240,-1.0415,0.2573,0.0696
241,-1.0042,-0.0088,-0.0569
242,-0.9514,-0.1438,-0.1265
243,-0.9563,0.0876,-0.0439
244,-0.9915,0.3582,0.0906
245,-1.0227,0.2673,0.0896
246,-1.0269,-0.0798,-0.0396
247,-0.9729,-0.1743,-0.1094
248,-0.9631,0.1045,-0.0076
249,-1.0288,0.3257,0.1414
250,-1.0305,0.1316,0.0886
251,-0.9673,-0.1663,-0.1392
252,-0.9417,-0.0320,-0.1467
253,-0.9858,0.4087,0.0698
254,-1.0227,0.5300,0.1675
255,-0.9731,0.1809,-0.0229
256,-0.9536,-0.1348,-0.1899
257,-0.9954,-0.0354,-0.0867
258,-1.0288,0.1802,0.0935
259,-1.0366,0.1331,0.0554
260,-0.9905,-0.0625,-0.1299
261,-0.9995,-0.0369,-0.1353
262,-1.0715,0.1577,0.0681
263,-1.0386,0.2407,0.1091
264,-0.9614,0.1836,-0.0923
265,-0.9700,0.1572,-0.0801
266,-1.0471,0.1516,0.0811
267,-1.0161,0.1240,0.0330
268,-0.9138,0.1707,-0.0876
269,-0.9446,0.2739,-0.0288
270,-1.0227,0.2439,0.0696
271,-1.0181,0.0554,0.0110
272,-0.9878,-0.0005,-0.0676
273,-0.9565,0.1011,-0.0530
274,-1.0129,0.1489,0.0618
275,-1.0122,0.1155,0.0388
276,-0.9429,0.1548,-0.1133
277,-0.9485,0.2166,-0.0198
278,-1.0571,0.1204,0.1111
279,-1.0383,0.0095,-0.0315
280,-0.9829,0.0046,-0.0913
281,-1.0200,-0.0059,0.0544
282,-1.0627,-0.0481,0.0422
283,-0.9817,-0.0071,-0.0972
284,-0.9341,0.0693,-0.0396
285,-0.9751,0.0383,0.0576
286,-0.9497,0.0261,-0.0581
287,-0.9319,0.1221,-0.0686
288,-0.9878,0.1948,0.0676
289,-1.0024,0.1978,0.0396
290,-0.9224,0.2261,-0.0881
291,-0.9429,0.1560,-0.0403
292,-1.0425,-0.0256,0.0691
293,-1.0103,-0.1023,-0.0483
294,-0.9722,-0.0042,-0.1169
295,-1.0315,0.0383,0.0256
296,-1.0562,0.0735,0.0330
297,-0.9751,0.1724,-0.0862
298,-0.9709,0.2295,0.0300
299,-1.0068,0.1543,0.1003
300,-0.9663,0.0144,-0.0603
301,-0.9497,-0.0793,-0.0503
302,-1.0415,-0.1118,0.0693
303,-1.0176,-0.0557,-0.0388
304,-0.9563,0.0125,-0.0513
305,-1.0103,-0.0315,0.0417
306,-1.0266,-0.0361,0.0051
307,-0.9878,0.0728,-0.0693
308,-1.0320,0.1833,0.0508
309,-1.0308,0.2229,0.0200
310,-1.0142,0.2622,-0.1018
311,-0.9966,0.1797,0.0049
312,-1.0432,-0.0156,0.0476
313,-1.0181,-0.1443,-0.0620
314,-0.9875,-0.1382,-0.0244
315,-1.0347,-0.0977,0.0212
316,-0.9993,0.0054,-0.0454
317,-0.9585,0.0708,-0.0312
318,-0.9634,0.0229,0.0347
319,-0.9614,0.0164,-0.0562
320,-0.9680,0.0840,-0.0437
321,-1.0464,0.1033,0.0686
322,-0.9692,-0.0869,0.0029
323,-1.0239,-0.0476,0.0105
324,-0.9858,0.0408,-0.0510
325,-0.9780,0.0769,-0.0127
326,-1.0500,-0.0371,0.0242
327,-1.0151,-0.0881,0.0090
328,-0.9780,-0.0222,-0.0430
329,-1.0090,0.0254,-0.0171
330,-1.0200,0.0549,-0.0486
331,-1.0142,0.1890,-0.0896
332,-1.0503,0.2383,-0.0254
333,-1.0249,0.1201,-0.0022
334,-0.9575,-0.0073,-0.0999
335,-0.9797,-0.0752,-0.0156
336,-1.0129,-0.1169,0.0078
337,-0.9399,-0.0249,-0.1064
338,-0.9270,0.0759,-0.0454
339,-0.9829,0.0063,-0.0017
340,-0.9722,-0.0608,-0.0513
341,-0.9958,-0.0005,0.0088
342,-1.0217,0.0920,0.0610
343,-0.9885,0.1687,-0.0210
344,-0.9868,0.2651,0.0017
345,-1.0022,0.1912,0.0635
346,-1.0012,-0.0232,0.0034
347,-0.9739,-0.1821,0.0154
348,-0.9634,-0.2415,0.0298
349,-0.9761,-0.2122,-0.0332
350,-0.9790,-0.0479,-0.0100
351,-0.9875,0.0454,0.0259
352,-0.9839,-0.0278,-0.0134
353,-0.9651,-0.0591,-0.0144
354,-0.9885,0.0171,0.0186
355,-1.0229,0.0771,0.0051
356,-1.0549,0.1372,-0.0061
357,-1.0110,0.2217,-0.0405
358,-0.9963,0.1238,-0.0842
359,-1.0425,-0.0537,-0.0068
360,-1.0344,-0.1494,0.0151
361,-0.9858,-0.1672,-0.0498
362,-0.9883,-0.1045,-0.0330
363,-0.9973,0.0649,-0.0381
364,-0.9495,0.1165,-0.0891
365,-0.9778,0.0222,-0.0479
366,-1.0286,-0.0061,-0.0464
367,-1.0374,0.0854,-0.0288
368,-1.0659,0.1362,0.0176
369,-1.0601,0.1741,-0.0415
370,-0.9692,0.2148,-0.0815
371,-0.9946,0.1226,-0.0042
372,-1.0452,-0.0728,0.0059
373,-0.9856,-0.1748,-0.0198
374,-0.9924,-0.1592,0.0254
375,-0.9819,-0.1094,-0.0264
376,-0.9319,0.0161,-0.0486
377,-0.9653,0.0513,0.0049
378,-1.0015,-0.0271,0.0103
379,-0.9780,-0.0200,0.0037
380,-0.9976,0.0515,0.0388
381,-1.0286,0.0833,0.0417
382,-0.9858,0.1304,0.0012
383,-0.9868,0.1448,0.0076
384,-1.0081,0.0051,0.0610
385,-0.9829,-0.1472,0.0520
386,-0.9690,-0.2334,0.0146
387,-0.9817,-0.2642,-0.0107
388,-0.9729,-0.1299,-0.0369
389,-0.9534,0.0806,-0.0283
390,-0.9905,0.1206,-0.0022
391,-1.0112,0.0535,-0.0010
392,-1.0022,0.0850,-0.0056
393,-1.0344,0.1335,0.0044
394,-1.0559,0.1519,0.0076
395,-0.9878,0.1987,-0.0432
396,-0.9651,0.2292,-0.0698
397,-1.0120,0.0957,-0.0022
398,-1.0256,-0.0444,-0.0125
399,-1.0112,-0.0957,-0.0740
400,-1.0200,-0.1289,-0.0349
401,-1.0188,-0.0837,-0.0642
402,-0.9661,0.0662,-0.1064
403,-0.9836,0.0911,-0.0422
404,-0.9888,0.0144,-0.0420
405,-1.0112,0.0386,-0.0430
406,-1.0347,0.0825,0.0249
407,-1.0237,0.1008,0.0017
408,-0.9924,0.1704,-0.0325
409,-1.0168,0.1511,0.0281
410,-1.0132,-0.0730,0.0281
411,-0.9761,-0.2512,-0.0190
412,-0.9800,-0.2522,0.0342
413,-1.0129,-0.1936,0.0347
414,-0.9751,-0.1094,-0.0229
415,-0.9614,-0.0232,0.0186
416,-0.9739,-0.0076,0.0149
417,-0.9351,0.0132,-0.0269
418,-1.0305,0.0886,0.0591
419,-1.0627,0.1155,0.0601
420,-0.9673,0.1348,-0.0288
421,-0.9585,0.1882,-0.0022
422,-1.0132,0.1848,0.0337
423,-0.9995,0.0396,0.0222
424,-1.0151,-0.1516,0.0066
425,-1.0269,-0.2556,-0.0271
426,-1.0286,-0.2476,-0.0601
427,-1.0063,-0.0417,-0.0537
428,-0.9565,0.1521,-0.0581
429,-0.9614,0.1226,-0.0535
430,-0.9839,0.0579,-0.0547
431,-0.9827,0.1653,-0.0527
432,-1.0051,0.2458,-0.0439
433,-1.0894,0.1978,-0.0095
434,-0.9954,0.1868,-0.0159
435,-0.9417,0.1267,-0.0583
436,-0.9778,-0.0371,-0.0090
437,-1.0366,-0.1609,0.0500
438,-1.0149,-0.2046,0.0000
439,-1.0151,-0.1665,-0.0254
440,-0.9888,-0.0381,-0.0269
441,-0.9417,0.1223,-0.0242
442,-0.9565,0.1167,-0.0093
443,-0.9895,0.0588,0.0271
444,-0.9907,0.0537,-0.0039
445,-1.0188,0.0603,-0.0037
446,-1.0239,0.0459,0.0312
447,-0.9485,0.0715,0.0032
448,-0.9478,-0.0078,-0.0127
449,-0.9983,-0.1443,0.0535
450,-1.0188,-0.2222,0.0237
451,-1.0432,-0.2322,-0.0005
452,-1.0608,-0.1851,0.0283
453,-0.9709,-0.0105,-0.0598
454,-0.9290,0.1072,-0.0735
455,-0.9917,0.0381,0.0437
456,-0.9937,0.0203,-0.0234
457,-0.9663,0.0811,-0.0862
458,-1.0571,0.1392,0.0374
459,-1.0422,0.1843,-0.0125
460,-0.9448,0.1924,-0.1064
461,-0.9878,0.0532,0.0093
462,-0.9985,-0.0918,0.0156
463,-1.0090,-0.1040,-0.0657
464,-1.1038,-0.1411,0.0498
465,-1.0774,-0.1531,-0.0188
466,-0.9182,0.0095,-0.1560
467,-0.9526,0.1660,-0.0098
468,-0.9866,0.1399,-0.0129
469,-0.9644,0.1052,-0.0962
470,-1.0269,0.1362,0.0396
471,-1.0520,0.1150,0.0115
472,-0.9963,0.1218,-0.1101
473,-0.9729,0.1711,0.0225
474,-0.9907,0.0527,0.0381
475,-0.9204,-0.1331,-0.0486
476,-1.0190,-0.2058,0.0554
477,-1.0747,-0.1926,0.0725
478,-1.0168,-0.1162,-0.0503
479,-0.9592,0.0161,-0.0168
480,-0.9602,0.0271,0.0413
481,-0.9165,-0.0457,-0.0371
482,-0.9622,-0.0103,0.0063
483,-1.0601,0.0627,0.0857
484,-1.0518,0.0520,0.0037
485,-0.9868,0.0752,-0.0320
486,-0.9683,0.1157,0.0225
487,-0.9487,0.0510,-0.0032
488,-0.9556,-0.0408,0.0139
489,-1.0513,-0.1279,0.0608
