Sample,X,Y,Z
167,-0.9897,0.0090,-0.0298
168,-0.9807,0.0146,-0.0437
169,-1.0073,0.0093,-0.0024
170,-0.9819,0.0059,-0.0239
171,-0.9827,0.0146,-0.0256
172,-1.0063,0.0188,0.0107
173,-1.0122,0.0205,-0.0208
174,-1.0190,0.0271,-0.0198
175,-1.0334,0.0178,0.0127
176,-1.0132,0.0017,-0.0195
177,-1.0061,0.0100,-0.0242
178,-1.0024,0.0120,-0.0007
179,-0.9827,0.0093,-0.0391
180,-0.9702,0.0095,-0.0273
181,-0.9768,0.0247,0.0208
182,-0.9839,0.0356,-0.0125
183,-1.0012,0.0085,-0.0083
184,-1.0229,-0.0200,0.0339
185,-0.9846,-0.0103,-0.0308
186,-0.9758,0.0215,-0.0432
187,-1.0137,0.0361,0.0344
188,-0.9927,0.0256,-0.0085
189,-0.9751,0.0139,-0.0288
190,-1.0071,0.0200,0.0144
191,-0.9985,0.0342,-0.0168
192,-0.9790,0.0247,-0.0327
193,-1.0081,-0.0027,-0.0129
194,-1.0093,-0.0168,-0.0420
195,-1.0090,0.0037,-0.0303
196,-1.0305,0.0396,0.0181
197,-1.0120,0.0518,0.0042
198,-0.9954,0.0312,0.0051
199,-1.0012,0.0000,0.0127
200,-0.9788,-0.0225,-0.0354
201,-0.9722,-0.0229,-0.0505
202,-0.9973,-0.0095,-0.0107
203,-0.9888,0.0259,-0.0117
204,-0.9810,0.0642,0.0010
205,-1.0024,0.0564,0.0195
206,-1.0002,0.0039,-0.0120
207,-0.9836,-0.0288,-0.0298
208,-0.9924,-0.0095,-0.0291
209,-0.9973,0.0322,-0.0049
210,-1.0266,0.0498,0.0239
211,-1.0308,0.0276,0.0200
212,-1.0081,0.0068,-0.0278
213,-0.9895,0.0037,-0.0359
214,-0.9778,0.0085,-0.0166
215,-0.9583,0.0178,-0.0281
216,-0.9719,0.0244,-0.0239
217,-1.0239,0.0122,-0.0022
218,-1.0413,0.0188,-0.0107
219,-1.0129,0.0281,-0.0154
220,-0.9905,0.0325,0.0171
221,-0.9807,0.0076,0.0059
222,-0.9915,-0.0283,-0.0164
223,-1.0249,-0.0220,-0.0159
224,-1.0210,0.0366,-0.0095
225,-0.9846,0.0923,-0.0205
226,-0.9641,0.0571,0.0159
227,-0.9595,-0.0396,0.0056
228,-0.9697,-0.0615,-0.0566
229,-0.9966,0.0042,-0.0295
230,-1.0161,0.0640,0.0146
231,-0.9944,0.0613,-0.0100
232,-0.9995,0.0132,-0.0122
233,-1.0483,-0.0239,0.0068
234,-1.0374,0.0054,-0.0203
235,-0.9800,0.0469,-0.0398
236,-0.9395,0.0513,-0.0156
237,-0.9448,0.0139,-0.0310
238,-1.0120,-0.0215,0.0005
239,-1.0669,-0.0024,0.0522
240,-1.0315,0.0332,-0.0195
241,-0.9771,0.0225,-0.0752
242,-0.9924,-0.0154,-0.0134
243,-0.9934,-0.0137,0.0073
244,-0.9810,0.0347,-0.0010
245,-0.9944,0.0671,0.0024
246,-0.9868,0.0330,-0.0496
247,-1.0007,-0.0007,-0.0322
248,-1.0168,-0.0066,0.0525
249,-0.9663,-0.0034,-0.0090
250,-0.9341,0.0059,-0.0811
251,-1.0168,0.0239,0.0005
252,-1.0522,0.0444,0.0063
253,-0.9878,0.0466,-0.0513
254,-0.9836,0.0388,0.0125
255,-1.0315,0.0239,0.0244
256,-1.0247,0.0103,-0.0186
257,-0.9788,-0.0090,-0.0247
258,-0.9436,-0.0322,-0.0769
259,-0.9797,0.0088,-0.0398
260,-1.0403,0.0654,0.0652
261,-1.0005,0.0500,0.0049
262,-0.9631,-0.0002,-0.0515
263,-1.0356,-0.0022,0.0171
264,-1.0247,0.0251,0.0137
265,-0.9338,0.0156,-0.0627
266,-0.9473,-0.0056,-0.0293
267,-1.0229,0.0076,0.0186
268,-1.0305,0.0364,-0.0144
269,-1.0129,0.0457,-0.0200
270,-1.0149,0.0320,0.0383
271,-0.9915,0.0046,0.0054
272,-0.9683,-0.0149,-0.0596
273,-0.9758,0.0034,-0.0330
274,-0.9907,0.0547,0.0066
275,-0.9856,0.0408,-0.0408
276,-0.9934,-0.0142,-0.0283
277,-1.0259,-0.0071,0.0442
278,-1.0256,0.0354,0.0173
279,-0.9846,0.0193,-0.0554
280,-0.9692,-0.0112,-0.0593
281,-0.9966,0.0032,-0.0315
282,-1.0083,0.0437,0.0012
283,-1.0120,0.0566,0.0283
284,-1.0129,0.0325,0.0276
285,-1.0139,-0.0054,-0.0200
286,-0.9937,-0.0286,-0.0566
287,-0.9534,0.0046,-0.0471
288,-0.9614,0.0317,-0.0159
289,-0.9973,0.0288,0.0032
290,-1.0208,0.0295,-0.0005
291,-1.0491,0.0259,0.0173
292,-1.0139,0.0144,-0.0210
293,-0.9563,0.0044,-0.0732
294,-0.9702,-0.0017,-0.0088
295,-0.9915,0.0144,0.0222
296,-0.9810,0.0522,-0.0249
297,-1.0347,0.0591,0.0134
298,-1.0715,0.0215,0.0322
299,-1.0002,-0.0239,-0.0535
300,-0.9417,-0.0134,-0.0535
301,-0.9661,0.0217,0.0032
302,-0.9768,0.0161,-0.0269
303,-1.0042,0.0200,-0.0073
304,-1.0344,0.0134,0.0088
305,-1.0227,0.0137,-0.0291
306,-0.9927,0.0334,-0.0264
307,-0.9849,0.0405,-0.0088
308,-0.9680,0.0166,-0.0193
309,-0.9758,-0.0098,-0.0146
310,-1.0266,-0.0149,0.0171
311,-1.0442,0.0037,0.0107
312,-1.0154,0.0391,-0.0134
313,-0.9690,0.0447,-0.0107
314,-0.9458,0.0222,-0.0483
315,-0.9546,0.0100,-0.0530
316,-1.0090,0.0110,0.0203
317,-1.0364,0.0046,0.0205
318,-0.9995,-0.0107,-0.0408
319,-0.9875,0.0073,-0.0215
320,-0.9985,0.0398,-0.0088
321,-0.9753,0.0454,-0.0376
322,-0.9875,0.0110,-0.0034
323,-1.0344,-0.0168,0.0347
324,-1.0247,-0.0112,-0.0095
325,-1.0081,0.0159,-0.0330
326,-0.9954,0.0452,0.0103
327,-0.9670,0.0398,-0.0308
328,-0.9565,0.0098,-0.0718
329,-0.9995,0.0034,0.0176
330,-1.0259,0.0005,0.0215
331,-0.9917,-0.0076,-0.0515
332,-0.9819,0.0166,-0.0229
333,-0.9905,0.0515,-0.0073
334,-0.9810,0.0483,-0.0332
335,-1.0103,0.0225,0.0300
336,-1.0276,-0.0061,0.0310
337,-1.0042,-0.0322,-0.0408
338,-1.0042,-0.0095,-0.0103
339,-0.9836,0.0288,-0.0178
340,-0.9478,0.0251,-0.0786
341,-0.9934,0.0256,-0.0059
342,-1.0354,0.0457,0.0283
343,-1.0012,0.0242,-0.0439
344,-0.9927,-0.0071,-0.0293
345,-0.9958,-0.0071,-0.0066
346,-0.9690,-0.0007,-0.0505
347,-0.9846,0.0110,-0.0032
348,-1.0276,0.0271,0.0361
349,-1.0227,0.0283,-0.0159
350,-1.0259,0.0232,-0.0151
351,-1.0120,0.0112,0.0112
352,-0.9573,-0.0010,-0.0479
353,-0.9602,-0.0217,-0.0479
354,-0.9956,-0.0120,0.0039
355,-1.0027,0.0378,-0.0095
356,-1.0063,0.0542,-0.0303
357,-1.0051,0.0222,-0.0183
358,-0.9907,-0.0149,-0.0161
359,-0.9768,-0.0168,-0.0208
360,-0.9858,0.0007,-0.0100
361,-1.0159,0.0388,0.0205
362,-1.0422,0.0415,0.0088
363,-1.0190,0.0234,-0.0215
364,-0.9905,0.0149,-0.0166
365,-0.9683,0.0039,-0.0244
